when,type,message,link,image_path,image_url,caption,utm_source,utm_medium,utm_campaign,utm_term,utm_content
2025-10-17 08:00,text,"🔥 HOT TAKE: The 'gig economy' isn't the future of work - it's the return of medieval serfdom with better marketing. Your thoughts? #GigEconomy #EconomicReality #ViralTake",,,,,,,,
2025-10-17 15:00,link,"The average American spends 40% of their income on housing. In 1970, it was 25%. This isn't inflation - it's a systematic transfer of wealth. Here's the data that will shock you.","https://example.com/housing-wealth-transfer",,,,"Facebook","Social","ViralOctober","HousingCrisis","ShockingData"
2025-10-17 20:00,text,"💡 MIND BLOWN: The 'invisible hand' of the market is actually just 3 companies controlling 80% of everything you buy. Capitalism isn't broken - it's working exactly as designed. #MarketControl #EconomicReality",,,,,,,,
2025-10-18 09:00,text,"📊 VIRAL FACT: The average CEO makes 350x more than their workers. In 1965, it was 20x. This isn't meritocracy - it's aristocracy with better PR. Share if this makes you angry. #CEOpay #EconomicInequality",,,,,,,,
2025-10-18 16:00,link,"Your 'side hustle' isn't entrepreneurship - it's survival. Here's why the American Dream became the American Grind, and what the data really shows.","https://example.com/side-hustle-reality",,,,"Facebook","Social","ViralOctober","SideHustle","RealityCheck"
2025-10-18 21:00,text,"🎯 TRUTH BOMB: The stock market isn't the economy. When stocks go up, it doesn't mean you're getting richer - it means the rich are getting richer. The math is brutal. #StockMarket #EconomicReality",,,,,,,,
2025-10-19 10:00,text,"💸 SHOCKING: The average American has $90,000 in debt but only $8,000 in savings. This isn't personal failure - it's systemic design. Share if you're tired of being blamed for a rigged game. #DebtCrisis #EconomicReality",,,,,,,,
2025-10-19 17:00,link,"The 'free market' is a myth. Here's how 5 companies control 90% of what you consume, and why competition died in America.","https://example.com/monopoly-reality",,,,"Facebook","Social","ViralOctober","Monopoly","MarketControl"
2025-10-19 22:00,text,"🔥 CONTROVERSIAL: The minimum wage should be $25/hour, not $15. Here's the math that will make your head explode. #MinimumWage #EconomicJustice #ViralMath",,,,,,,,
2025-10-20 08:00,text,"🌍 VIRAL INSIGHT: Europe has better healthcare, education, and work-life balance than America, but Americans think they're 'freer.' The propaganda is working perfectly. #AmericanMyth #EuropeanReality",,,,,,,,
2025-10-20 15:00,link,"The 'American Dream' is now a subscription service. Here's how everything became a monthly payment, and why you're paying more for less.","https://example.com/subscription-economy",,,,"Facebook","Social","ViralOctober","SubscriptionEconomy","MonthlyPayments"
2025-10-20 19:00,text,"📈 DATA BOMB: The top 1% own more wealth than the bottom 90% combined. This isn't capitalism - it's feudalism with better technology. Share if you're ready for change. #WealthInequality #EconomicReality",,,,,,,,
2025-10-21 11:00,text,"🎭 SATIRE ALERT: Your 'financial advisor' is just a salesperson who gets paid to sell you products you don't need. The real advice? Don't trust anyone who profits from your money. #FinancialAdvice #ScamAlert",,,,,,,,
2025-10-21 18:00,link,"The 'sharing economy' isn't about sharing - it's about extracting value from people who own nothing. Here's how Uber and Airbnb created a new form of serfdom.","https://example.com/sharing-economy-reality",,,,"Facebook","Social","ViralOctober","SharingEconomy","Extraction"
2025-10-21 23:00,text,"💡 MIND BLOWN: The average person spends 2.5 hours daily on social media but thinks they don't have time to learn about money. Your attention is the most valuable commodity. #AttentionEconomy #TimeManagement",,,,,,,,
2025-10-22 09:00,text,"🔥 HOT TAKE: The 'inflation' everyone's worried about isn't caused by printing money - it's caused by corporate greed. Companies are raising prices because they can, not because they have to. #Inflation #CorporateGreed",,,,,,,,
2025-10-22 16:00,link,"The 'trickle-down economics' experiment has been running for 40 years. Here's the data on what actually trickled down (spoiler: it's not money).","https://example.com/trickle-down-data",,,,"Facebook","Social","ViralOctober","TrickleDown","DataReality"
2025-10-22 21:00,text,"📊 VIRAL FACT: The average American works 47 hours per week but feels like they're not getting ahead. This isn't a personal problem - it's a systemic one. Share if you're exhausted. #WorkLife #EconomicReality",,,,,,,,
2025-10-23 12:00,text,"🎯 TRUTH BOMB: The 'middle class' is disappearing not because of technology, but because of policy. Here's the data that proves it's intentional. #MiddleClass #EconomicPolicy",,,,,,,,
2025-10-23 19:00,link,"The 'free market' created the most expensive healthcare system in the world. Here's how America's healthcare became a profit center instead of a public good.","https://example.com/healthcare-profit",,,,"Facebook","Social","ViralOctober","Healthcare","ProfitCenter"
2025-10-23 22:00,text,"💸 SHOCKING: The average American pays $1,200/month for health insurance but still can't afford to get sick. This isn't insurance - it's extortion. #Healthcare #InsuranceScam",,,,,,,,
2025-10-24 10:00,text,"🌍 VIRAL INSIGHT: European countries have higher taxes but lower total costs of living. Americans pay more for everything and get less. The math is brutal. #TaxReality #CostOfLiving",,,,,,,,
2025-10-24 17:00,link,"The 'American Dream' was never about individual success - it was about collective prosperity. Here's how we lost that vision and how to get it back.","https://example.com/american-dream-history",,,,"Facebook","Social","ViralOctober","AmericanDream","CollectiveProsperity"
2025-10-24 20:00,text,"🔥 CONTROVERSIAL: The 'free market' is the biggest lie in American history. Every successful economy has government intervention. The question isn't whether to intervene, but who benefits. #FreeMarket #GovernmentRole",,,,,,,,
